"BLID";"lat";"lon";"aliasBLID1";"aliasBLID2";"locality";"region";"elevation";"country";"province";"siteType";"WLID";"distToWLID_km";"irrigated";"expt_yield_2017";"expt_restore_2018";"provincial_region";"created_at";"updated_at";"expt_yield_Lakeland"
20000;50.7983;-114.0017;11847;0;"7.8 km from Okotoks";"South Calgary";1108;"CANADA";"Alberta";"ditch";99001;14.34;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20008;50.7979;-113.537;12453;0;"15.5 km from Farrow";"South Calgary";986;"CANADA";"Alberta";"ditch";99004;19.26;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20003;50.6014;-113.0269;12666;0;"24.8 km from Mossleigh";"South Calgary";1004;"CANADA";"Alberta";"ditch";99005;15.8;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20004;50.5725;-113.0515;12877;0;"25.3 km from Mossleigh";"South Calgary";994;"CANADA";"Alberta";"ditch";99005;17.77;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20001;50.7761;-113.2619;13175;0;"7.7 km from Mossleigh";"South Calgary";918;"CANADA";"Alberta";"ditch";99004;13.05;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20007;50.6013;-113.4902;13734;0;"4.4 km from Herronton";"South Calgary";1013;"CANADA";"Alberta";"ditch";99003;12.03;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20012;50.601;-113.8357;14522;0;"3.4 km from High River";"South Calgary";1029;"CANADA";"Alberta";"ditch";99003;14.95;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20009;50.7759;-113.583;15256;0;"Township Rd 212, Blackie";"South Calgary";1027;"CANADA";"Alberta";"ditch";99004;20.13;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20013;50.6017;-113.0517;17972;20002;"Township Rd 192, Milo";"South Calgary";1034;"CANADA";"Alberta";"ditch";99005;17.56;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
20010;50.8087;-113.789;19615;0;"Near Dalemead";"South Calgary";973;"CANADA";"Alberta";"ditch";99001;27.69;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21470;50.58576;-113.08569;0;0;"Range Rd 232, Arrowwood";"South Calgary";1047;"CANADA";"Alberta";"inField_wetland";99005;20.0;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21715;50.63321;-113.11923;0;0;"Range Rd 234, Arrowwood";"South Calgary";1134;"CANADA";"Alberta";"inField_wetland";99004;16.77;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22590;50.65124;-113.10489;0;0;"Township Rd 200, Arrowwood";"South Calgary";1095;"CANADA";"Alberta";"inField_wetland";99004;17.36;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21260;50.63131;-113.09937;0;0;"Near Arrowwood";"South Calgary";1133;"CANADA";"Alberta";"inField_wetland";99004;18.18;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21834;50.63299;-113.11005;0;0;"Range Rd 234, Arrowwood";"South Calgary";1134;"CANADA";"Alberta";"inField_wetland";99004;17.4;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22583;50.5737;-113.06084;0;0;"AB-542, Arrowwood";"South Calgary";1000;"CANADA";"Alberta";"inField_wetland";99005;18.4;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21603;50.76638;-113.53779;0;0;"320 St, Mossleigh";"South Calgary";1024;"CANADA";"Alberta";"inField_wetland";99004;16.94;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22492;50.74634;-113.5374;0;0;"304188 338 Ave E, Mossleigh";"South Calgary";1031;"CANADA";"Alberta";"inField_wetland";99004;15.64;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21554;50.73703;-113.53225;0;0;"336 St E, Mossleigh";"South Calgary";1042;"CANADA";"Alberta";"inField_wetland";99004;14.81;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21071;50.71979;-113.51986;0;0;"AB-547, Mossleigh";"South Calgary";1051;"CANADA";"Alberta";"inField_wetland";99004;13.17;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21057;50.71596;-113.44135;0;0;"Range Rd 255, Mossleigh";"South Calgary";1039;"CANADA";"Alberta";"inField_wetland";99004;8.14;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22345;50.62893;-113.42812;0;0;"Township Rd 194, Brant";"South Calgary";986;"CANADA";"Alberta";"inField_wetland";99004;7.42;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21547;50.77773;-113.56368;0;0;"Township Rd 212, Blackie";"South Calgary";1027;"CANADA";"Alberta";"inField_wetland";99004;19.16;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22513;50.76303;-113.81036;0;0;"Range Rd 283, Aldersyde";"South Calgary";1037;"CANADA";"Alberta";"inField_wetland";99001;24.65;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22576;50.58615;-113.81551;0;0;"Range Rd 283, Aldersyde";"South Calgary";1034;"CANADA";"Alberta";"inField_wetland";99003;13.05;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22128;50.57074;-113.77466;0;0;"AB-23, Blackie";"South Calgary";1016;"CANADA";"Alberta";"inField_wetland";99003;9.8;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21736;50.68958;-113.58646;0;0;"Township Rd 202, Blackie";"South Calgary";1066;"CANADA";"Alberta";"inField_wetland";99003;15.99;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21106;50.69053;-113.61;0;0;"Township Rd 202, Blackie";"South Calgary";1068;"CANADA";"Alberta";"inField_wetland";99003;15.79;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
21120;50.72736;-113.5571;0;0;"304 St E, Blackie";"South Calgary";1058;"CANADA";"Alberta";"inField_wetland";99004;15.92;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
22471;50.75628;-113.76956;0;0;"Range Rd 281, Aldersyde";"South Calgary";1080;"CANADA";"Alberta";"inField_wetland";99003;24.72;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
24006;50.7876;-113.8825;0;0;"80 St, De Winton";"South Calgary";1078;"CANADA";"Alberta";"ditch";99001;20.73;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
24013;50.7625;-114.2327;0;0;"AB-549, Millarville";"South Calgary";1163;"CANADA";"Alberta";"ditch";99001;8.25;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
